WKT,Provinsi,Kode_Prov,Kab_Kota,Kode_Kab,KECAMATAN,Kode_Kec,KELURAHAN,Kode_Kel,KODE_RT_RW,LUAS_KUMUH,skor_kumuh,SUMBR_DATA,SK_KUMUH,Kawasan
"POLYGON ((120.26422152592932 -5.120612765541234, 120.26412956269985 -5.120922811330089, 120.26407412535721 -5.120907967857372, 120.2637810152767 -5.120829486897203, 120.26364276385519 -5.120772980670434, 120.26343525039931 -5.120688165551307, 120.26343440987824 -5.120687822012502, 120.26366704133645 -5.12033576835011, 120.26369225661409 -5.120297608676145, 120.26370598254815 -5.120262224528719, 120.2638218380741 -5.1200434212383765, 120.26396547842104 -5.119629218064358, 120.26403929914844 -5.11935612930501, 120.26418417563828 -5.119401516479701, 120.26450960573301 -5.11950346770027, 120.26417075452372 -5.120596323003547, 120.26422152592932 -5.120612765541234))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT01_RW01 TOKINJONG,0.989344309662,39.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Benteng Balangnipa
"POLYGON ((120.26010839889284 -5.1193813273071695, 120.26024241049645 -5.118957520610746, 120.26027105368878 -5.11889796194962, 120.2607084251543 -5.1189973818248715, 120.2612744234985 -5.1191289114985326, 120.26142878399176 -5.119165435206712, 120.26137162579171 -5.119485089468504, 120.26133106603172 -5.119602546847956, 120.26125016019917 -5.1197872541512615, 120.26117225002756 -5.119940414717455, 120.26107556994486 -5.120133661567252, 120.26099336150995 -5.120288238188561, 120.26094129503824 -5.12041999144976, 120.26092381532358 -5.120493077313162, 120.26086466372215 -5.120472241053847, 120.26052515061438 -5.120375173972358, 120.26000786820141 -5.120226637500673, 120.25984402872368 -5.120181688433667, 120.2599797148497 -5.119770909214607, 120.26010839889284 -5.1193813273071695))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT01_RW02 TOKINJONG,2.01190159405,31.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Benteng Balangnipa
"POLYGON ((120.25862198268622 -5.NA1193012874843085, 120.25868189509852 -5.119117009407591, 120.25896313054042 -5.11921145256264, 120.25897388593428 -5.1191768155475526, 120.25899649443684 -5.119104006376985, 120.25954250502328 -5.119225410182317, 120.25955668956543 -5.119254161366848, 120.2599483342243 -5.1193404752993, 120.26010839889284 -5.1193813273071695, 120.25982784319382 -5.120230688800794, 120.25959680688935 -5.120891720452244, 120.2593769539253 -5.121598416187287, 120.25932513398627 -5.121585436450865, 120.25870429912713 -5.121371006449616, 120.25860166110611 -5.121440820876523, 120.25793466897954 -5.121115576259642, 120.25811532161461 -5.120689166816586, 120.25844085585166 -5.119838456735349, 120.25862198268622 -5.1193012874843085))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT01_RW03 TOKINJONG,4.0890010659,46.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Benteng Balangnipa
"POLYGON ((120.26288915377117 -5.120632229818605, 120.26264996728408 -5.120524812445716, 120.26261550440026 -5.120498365352308, 120.26260739787841 -5.120442145083139, 120.26259517871361 -5.120231695724655, 120.26260221639676 -5.120111072032665, 120.26265252683449 -5.120084815501979, 120.26275460053081 -5.120031544204338, 120.26277501094646 -5.119998159255887, 120.26273728675838 -5.119897581067701, 120.26266859502103 -5.119789697773493, 120.26257159491765 -5.11960996710095, 120.26246136837605 -5.119456479489532, 120.2623533533833 -5.11934364623048, 120.26226669686486 -5.1192548131033355, 120.2622098258218 -5.119170889159309, 120.26218676581944 -5.119148732871523, 120.2622328106868 -5.119122811359692, 120.26239817164844 -5.119029719362149, 120.26296064779326 -5.118713065812631, 120.26352259251378 -5.118421740583217, 120.26350106671401 -5.11837441217, 120.26373405521214 -5.118257059827755, 120.26382141112137 -5.118461853386049, 120.26393107888742 -5.118746836781816, 120.26403257390093 -5.118991140327956, 120.2640642050113 -5.119122773895947, 120.26407328534906 -5.119230402265862, 120.26396547842104 -5.119629218064374, 120.2638218380741 -5.1200434212383765, 120.26366704134087 -5.120335768343345, 120.2634075873628 -5.120730222268183, 120.26332582426369 -5.1208409088288205, 120.26328244924274 -5.1208201804995275, 120.26288915377117 -5.120632229818605))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT02_RW01 TOKINJONG,3.4086888315,42.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Benteng Balangnipa
"POLYGON ((120.25641163867577 -5.110084302337182, 120.25685493722331 -5.1099930230956065, 120.25684269277802 -5.10996679248607, 120.25694117108651 -5.109957750819995, 120.2570797815072 -5.110332753450762, 120.2572461014326 -5.110920183590763, 120.25745104910158 -5.111507779146211, 120.25770523944975 -5.112290680281936, 120.25771299447936 -5.112432695661382, 120.25756161681275 -5.112392872863042, 120.25736244543991 -5.112352810182772, 120.25725556601739 -5.112365741551627, 120.25691781283427 -5.112389192237096, 120.25691393894867 -5.112389192236248, 120.25686082591594 -5.112111576432531, 120.2567412475021 -5.111522911793656, 120.25664634744213 -5.111074457536325, 120.2564871686798 -5.1103780346636, 120.25641163867577 -5.110084302337182))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT02_RW01 ULUSALO,1.97397479904,38.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Benteng Balangnipa
"POLYGON ((120.25861264697228 -5.122610208730239, 120.25831857793195 -5.1225121179271085, 120.25830321652457 -5.1224797753622155, 120.25833571780453 -5.12240699324651, 120.25839935988571 -5.122300872478884, 120.25842476380362 -5.122214910151437, 120.2582477377638 -5.12206950379707, 120.25811115088196 -5.121946984035221, 120.25803291719112 -5.121840255070682, 120.25793575053554 -5.121699972810561, 120.25788259454998 -5.121583787900257, 120.25777585646885 -5.1214764622038675, 120.25793466897954 -5.121115576259642, 120.25860166110611 -5.121440820876523, 120.25870429912713 -5.121371006449616, 120.25932513398627 -5.121585436450865, 120.25937695392527 -5.121598416187287, 120.25901576115655 -5.122758830640824, 120.25897149313852 -5.122735047811134, 120.25861264697228 -5.122610208730239))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT02_RW03 Tokinjong,1.71157903765,48.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Benteng Balangnipa
"POLYGON ((120.2619829886786 -5.121632502246258, 120.2622271856871 -5.121068238133819, 120.26225492594813 -5.120991116910317, 120.26236533738678 -5.121036627513866, 120.26277077974615 -5.121203747035967, 120.26305429106833 -5.1213228676431, 120.26323847084487 -5.121412596305822, 120.26335441125069 -5.121400181614848, 120.2636029292374 -5.121500227156281, 120.26378275611548 -5.121604282375521, 120.2637372694673 -5.121870909777523, 120.26366221621767 -5.121857837249915, 120.26358573236986 -5.121907716000878, 120.26342539821438 -5.121865271890607, 120.26337615867669 -5.1221401230911, 120.26309533301824 -5.122100556376574, 120.26306020058762 -5.122235508416755, 120.26299946049582 -5.1224401287432455, 120.26317093529043 -5.122489636482034, 120.26296768778045 -5.122845963586181, 120.26291118252286 -5.122821431370414, 120.26288867601019 -5.122862664822814, 120.26286273455709 -5.12296601452362, 120.26278058155047 -5.122931515252474, 120.26274145903439 -5.123052832825843, 120.26280218147816 -5.123074779278863, 120.26271442872375 -5.123342397305857, 120.2627480488166 -5.123355714573272, 120.2626991195426 -5.1237586067824985, 120.2626433944234 -5.1238205739989, 120.26263062429285 -5.123913376199759, 120.26257831343828 -5.123984627725391, 120.26252944293654 -5.1240301827169965, 120.2624918295083 -5.124056100527304, 120.26227001667971 -5.123936149744025, 120.2622208263648 -5.124058245252365, 120.26201458423154 -5.123912038884628, 120.26184527947905 -5.123688962510103, 120.2617646842454 -5.123384539996187, 120.26190547886948 -5.123224202893088, 120.2619912191676 -5.123133818394695, 120.26201084640772 -5.123110123561916, 120.26203420784088 -5.122999765185879, 120.26200624535429 -5.122794176230529, 120.26210010382908 -5.1226442851712894, 120.26214082889867 -5.122488096314115, 120.26214014346331 -5.122313081341106, 120.26211243560684 -5.122205499748196, 120.26212264590187 -5.1221857154032815, 120.26215372820299 -5.122146734605802, 120.26220180443164 -5.122109980818506, 120.26226568811609 -5.122061142376399, 120.26228351954879 -5.121793440688357, 120.2619829886786 -5.121632502246258))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT03_RW01 TOKINJONG,3.55457411876,41.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Benteng Balangnipa
"POLYGON ((120.2560457594943 -5.108787135999623, 120.2563606843793 -5.108685083614853, 120.25653951306093 -5.109317306772138, 120.25685493722331 -5.1099930230956065, 120.25641163867579 -5.110084302337182, 120.25631653246525 -5.109684431926186, 120.25623214878544 -5.109342177249918, 120.25611450542304 -5.108971089912025, 120.2560457594943 -5.108787135999623))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT03_RW01 ULUSALO,0.58232364501,40.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Benteng Balangnipa
"POLYGON ((120.26265907306536 -5.121157702622054, 120.26222107477308 -5.120977163755831, 120.26146231438219 -5.120666913876619, 120.26195949247708 -5.119264323940147, 120.26212577510975 -5.119183068314662, 120.26218676581942 -5.119148732871523, 120.2622098258218 -5.119170889159309, 120.26226669686486 -5.1192548131033355, 120.2623533533833 -5.11934364623048, 120.26246136837605 -5.119456479489532, 120.26257159491765 -5.11960996710095, 120.26266859502103 -5.119789697773493, 120.26273728675838 -5.119897581067701, 120.26277501094646 -5.119998159255887, 120.26275460053081 -5.120031544204338, 120.26260221639676 -5.120111072032648, 120.26259517871361 -5.120231695724655, 120.26260739787841 -5.120442145083139, 120.26261550440026 -5.120498365352308, 120.26264996728408 -5.120524812445716, 120.26288915377117 -5.120632229818605, 120.26332582426369 -5.1208409088288205, 120.26329918704864 -5.120903993730356, 120.26308599699581 -5.12124354251495, 120.26302762047499 -5.121289197571525, 120.26300648058535 -5.121302779517546, 120.26299918433467 -5.121299713913385, 120.26296009225888 -5.1212832889237285, 120.26286861739594 -5.12124485468752, 120.26277077974615 -5.121203747035967, 120.26265907306536 -5.121157702622054))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT03_RW02 TOKINJONG,2.30709912792,43.0,Hasil Verifikasi Pendataan Tahun 2024,,Kawasan Benteng Balangnipa
"POLYGON ((120.25274774746975 -5.126825027795548, 120.25493068294209 -5.127662793263575, 120.25455017125424 -5.128424095057035, 120.2540561736244 -5.128168111585862, 120.25376244530395 -5.128045106504763, 120.25365897282747 -5.128078351123619, 120.25291130073906 -5.127765851638097, 120.2524617531672 -5.127591814873581, 120.25274774746975 -5.126825027795548))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Biringere,1001,1001-RT02_RW01 LOMPU,2.30211131848,46.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Mangottong
